prompt_id,model,prompt_tokens,baseline_cost,optimized_cost,delta_cost,delta_pct,baseline_cache_hit,optimized_cache_hit
24,openai/gpt-4o-mini,3354,0.000518,9.3e-05,-0.000425,-82.0,0.0,0.478
7,openai/gpt-4o-mini,3156,0.000492,6.8e-05,-0.000424,-86.13,0.0,0.493
19,openai/gpt-4o-mini,3533,0.000543,0.000119,-0.000424,-78.02,0.0,0.465
20,openai/gpt-4o-mini,3587,0.000557,0.000139,-0.000418,-75.05,0.0,0.461
2,openai/gpt-4o-mini,3318,0.000516,0.000102,-0.000414,-80.21,0.0,0.481
5,openai/gpt-4o-mini,3469,0.000539,0.000125,-0.000414,-76.84,0.0,0.47
6,openai/gpt-4o-mini,3595,0.000558,0.000144,-0.000414,-74.24,0.0,0.461
8,openai/gpt-4o-mini,3442,0.000535,0.000121,-0.000414,-77.43,0.0,0.472
9,openai/gpt-4o-mini,3521,0.000547,0.000133,-0.000414,-75.75,0.0,0.466
10,openai/gpt-4o-mini,3212,0.000501,8.6e-05,-0.000414,-82.76,0.0,0.489
