prompt_id,model,provider,use_optimized,prompt_tokens,completion_tokens,cached_tokens,cost_usd,latency_ms,error,section_order
0,llama3.2:latest,ollama,True,238,32,0,0.0,40072.65019416809,,system|tools|documents|query
1,llama3.2:latest,ollama,True,288,32,0,0.0,11331.807136535645,,system|tools|role|documents|query
2,llama3.2:latest,ollama,True,366,32,0,0.0,11754.506349563599,,system|tools|role|documents|query
3,llama3.2:latest,ollama,True,183,32,0,0.0,9243.440866470337,,system|tools|role|context|query
4,llama3.2:latest,ollama,True,606,11,0,0.0,12253.83973121643,,system|tools|context|documents|history|query
5,llama3.2:latest,ollama,True,151,32,0,0.0,10353.843927383423,,system|tools|role|context|query
6,llama3.2:latest,ollama,True,107,32,0,0.0,8927.380084991455,,system|tools|history|query
7,llama3.2:latest,ollama,True,98,32,0,0.0,11018.229007720947,,system|tools|role|history|query
8,llama3.2:latest,ollama,True,337,32,0,0.0,12400.57921409607,,system|tools|documents|history|query
9,llama3.2:latest,ollama,True,354,32,0,0.0,12767.229080200195,,system|tools|role|documents|history|query
10,llama3.2:latest,ollama,True,307,32,0,0.0,11702.369213104248,,system|tools|role|context|documents|query
11,llama3.2:latest,ollama,True,71,32,0,0.0,10987.974166870117,,system|tools|query
12,llama3.2:latest,ollama,True,205,32,0,0.0,12878.113985061646,,system|tools|context|history|query
13,llama3.2:latest,ollama,True,277,32,0,0.0,12938.395977020264,,system|tools|documents|history|query
14,llama3.2:latest,ollama,True,165,32,0,0.0,10821.002960205078,,system|tools|documents|query
15,llama3.2:latest,ollama,True,280,32,0,0.0,12890.244960784912,,system|tools|context|history|query
16,llama3.2:latest,ollama,True,298,32,0,0.0,12355.53789138794,,system|tools|role|documents|history|query
17,llama3.2:latest,ollama,True,272,32,0,0.0,11140.00391960144,,system|tools|context|query
18,llama3.2:latest,ollama,True,440,32,0,0.0,14942.145109176636,,system|tools|documents|history|query
19,llama3.2:latest,ollama,True,398,32,0,0.0,12459.80191230774,,system|tools|context|documents|history|query
20,llama3.2:latest,ollama,True,364,32,0,0.0,12552.889108657837,,system|tools|context|documents|query
21,llama3.2:latest,ollama,True,188,32,0,0.0,10882.809162139893,,system|tools|role|context|query
22,llama3.2:latest,ollama,True,89,32,0,0.0,10437.258958816528,,system|tools|role|query
23,llama3.2:latest,ollama,True,339,32,0,0.0,11942.408084869385,,system|tools|role|documents|history|query
24,llama3.2:latest,ollama,True,299,32,0,0.0,11566.959142684937,,system|tools|role|context|history|query
0,llama3.2:latest,ollama,False,238,32,0,0.0,11185.077905654907,,query|documents|tools|system
1,llama3.2:latest,ollama,False,288,32,0,0.0,10722.426891326904,,query|documents|role|tools|system
2,llama3.2:latest,ollama,False,366,32,0,0.0,12838.347911834717,,query|documents|role|tools|system
3,llama3.2:latest,ollama,False,183,32,0,0.0,11588.021993637085,,query|context|role|tools|system
4,llama3.2:latest,ollama,False,606,32,0,0.0,15687.918186187744,,query|history|documents|context|tools|system
5,llama3.2:latest,ollama,False,151,32,0,0.0,11426.231145858765,,query|context|role|tools|system
6,llama3.2:latest,ollama,False,107,32,0,0.0,8914.92509841919,,query|history|tools|system
7,llama3.2:latest,ollama,False,98,32,0,0.0,9749.329090118408,,query|history|role|tools|system
8,llama3.2:latest,ollama,False,337,32,0,0.0,12714.377880096436,,query|history|documents|tools|system
9,llama3.2:latest,ollama,False,354,32,0,0.0,14820.671796798706,,query|history|documents|role|tools|system
10,llama3.2:latest,ollama,False,307,32,0,0.0,11719.129085540771,,query|documents|context|role|tools|system
11,llama3.2:latest,ollama,False,71,32,0,0.0,8947.972297668457,,query|tools|system
12,llama3.2:latest,ollama,False,205,32,0,0.0,10448.20499420166,,query|history|context|tools|system
13,llama3.2:latest,ollama,False,277,32,0,0.0,12507.938146591187,,query|history|documents|tools|system
14,llama3.2:latest,ollama,False,165,32,0,0.0,10250.119924545288,,query|documents|tools|system
15,llama3.2:latest,ollama,False,281,32,0,0.0,12223.435163497925,,query|history|context|tools|system
16,llama3.2:latest,ollama,False,298,32,0,0.0,11579.216957092285,,query|history|documents|role|tools|system
17,llama3.2:latest,ollama,False,272,32,0,0.0,12476.554155349731,,query|context|tools|system
18,llama3.2:latest,ollama,False,440,32,0,0.0,13201.730966567993,,query|history|documents|tools|system
19,llama3.2:latest,ollama,False,398,8,0,0.0,9846.450328826904,,query|history|documents|context|tools|system
20,llama3.2:latest,ollama,False,364,32,0,0.0,13838.321924209595,,query|documents|context|tools|system
21,llama3.2:latest,ollama,False,188,32,0,0.0,11850.860834121704,,query|context|role|tools|system
22,llama3.2:latest,ollama,False,89,32,0,0.0,8312.124013900757,,query|role|tools|system
23,llama3.2:latest,ollama,False,339,32,0,0.0,12289.895057678223,,query|history|documents|role|tools|system
24,llama3.2:latest,ollama,False,299,32,0,0.0,13223.911046981812,,query|history|context|role|tools|system
