prompt_id,model,provider,use_optimized,prompt_tokens,completion_tokens,cached_tokens,cost_usd,latency_ms,error,section_order
0,gpt-4o,echo,True,1,4,0,0.0,0.0,,
1,gpt-4o,echo,True,3,4,0,0.0,0.0,,query
2,gpt-4o,echo,True,2,4,0,0.0,0.0,,system
3,gpt-4o,echo,True,6,4,0,0.0,0.0,,system|tools|role|context|documents|history|query
4,gpt-4o,echo,True,5,4,0,0.0,0.0,,system|query
5,echo-model,echo,True,291,4,0,0.0,0.0,,system|tools|documents|query
6,echo-model,echo,True,374,4,0,0.0,0.0,,system|tools|role|documents|query
7,echo-model,echo,True,487,4,0,0.0,0.0,,system|tools|role|documents|query
8,echo-model,echo,True,199,4,0,0.0,0.0,,system|tools|role|context|query
9,echo-model,echo,True,869,4,0,0.0,0.0,,system|tools|context|documents|history|query
10,echo-model,echo,True,159,4,0,0.0,0.0,,system|tools|role|context|query
11,echo-model,echo,True,86,4,12,0.0,0.0,,system|tools|history|query
12,echo-model,echo,True,98,4,14,0.0,0.0,,system|tools|role|history|query
13,echo-model,echo,True,458,4,0,0.0,0.0,,system|tools|documents|history|query
14,echo-model,echo,True,484,4,72,0.0,0.0,,system|tools|role|documents|history|query
15,gpt-4o,echo,True,12500,4,0,0.0,0.0,,query
16,gpt-4o,echo,True,25000,4,0,0.0,0.0,,documents
17,gpt-4o,echo,True,1,4,0,0.0,0.0,,system
18,gpt-4o,echo,True,6,4,0,0.0,0.0,,history
19,gpt-4o,echo,True,4,4,0,0.0,0.0,,system|tools|documents
0,gpt-4o,echo,False,1,4,0,0.0,0.0,,
1,gpt-4o,echo,False,3,4,0,0.0,0.0,,query
2,gpt-4o,echo,False,2,4,0,0.0,0.0,,system
3,gpt-4o,echo,False,6,4,0,0.0,0.0,,query|history|documents|context|role|tools|system
4,gpt-4o,echo,False,5,4,0,0.0,0.0,,query|system
5,echo-model,echo,False,291,4,0,0.0,0.0,,query|documents|tools|system
6,echo-model,echo,False,374,4,0,0.0,0.0,,query|documents|role|tools|system
7,echo-model,echo,False,487,4,73,0.0,0.0,,query|documents|role|tools|system
8,echo-model,echo,False,199,4,0,0.0,0.0,,query|context|role|tools|system
9,echo-model,echo,False,869,4,0,0.0,0.0,,query|history|documents|context|tools|system
10,echo-model,echo,False,159,4,0,0.0,0.0,,query|context|role|tools|system
11,echo-model,echo,False,86,4,12,0.0,0.0,,query|history|tools|system
12,echo-model,echo,False,98,4,0,0.0,0.0,,query|history|role|tools|system
13,echo-model,echo,False,458,4,0,0.0,0.0,,query|history|documents|tools|system
14,echo-model,echo,False,484,4,96,0.0,0.0,,query|history|documents|role|tools|system
15,gpt-4o,echo,False,12500,4,1875,0.0,0.0,,query
16,gpt-4o,echo,False,25000,4,3750,0.0,0.0,,documents
17,gpt-4o,echo,False,1,4,0,0.0,0.0,,system
18,gpt-4o,echo,False,6,4,0,0.0,0.0,,history
19,gpt-4o,echo,False,4,4,0,0.0,0.0,,documents|tools|system
